Student,LPIPS,SSIM
111332012.png,0.0,1.0
112590009.png,0.2728331387042999,0.5584888356481919
113378043.png,0.2869405448436737,0.5944587902830569
112590022.png,0.3035968840122223,0.50025839371655
112590003.png,0.3055744767189026,0.5270696130807441
112590007.png,0.31649845838546753,0.6171665893585979
112590036.png,0.3229731619358063,0.6278403024660403
110590456.png,0.32760897278785706,0.6082420289802939
112590060.png,0.32808518409729004,0.6183748468042078
112590017.png,0.32817018032073975,0.6384669278185454
112590057.png,0.3283049166202545,0.5032300652748749
112590004.png,0.3345961272716522,0.5795739187999244
109810011.png,0.34225261211395264,0.5707826742790207
112590020.png,0.34242933988571167,0.577065288344844
110590041.png,0.342832088470459,0.5510091845301843
112590014.png,0.3482186794281006,0.5840258152491615
112590038.png,0.35536065697669983,0.5745665002045761
112590041.png,0.35849788784980774,0.5909647638974029
112590026.png,0.35921165347099304,0.4963001478326013
112590030.png,0.3601086139678955,0.5148772986991168
112590044.png,0.370380163192749,0.5814692879595651
112590023.png,0.3978092074394226,0.576785681914473
112590033.png,0.40697115659713745,0.5667820056213219
112590035.png,0.4080418348312378,0.4956677045996401
112590013.png,0.4184025824069977,0.6002428978712806
112590021.png,0.42151057720184326,0.4795461374148988
112590012.png,0.4222874045372009,0.5882980699466549
110820009.png,0.42437899112701416,0.4960930340691871
112590029.png,0.42645594477653503,0.5933583620137293
112590031.png,0.4319649040699005,0.44373222641661164
112590052.png,0.45578551292419434,0.4408159377516379
112590005.png,0.46609553694725037,0.5086772066066131
112590051.png,0.47224336862564087,0.40571607030801055
112590024.png,0.4817122220993042,0.4689782969311906
112ab0053.png,0.49757689237594604,0.5637066109635159
112590053.png,0.4977523684501648,0.42602798473946263
112590025.png,0.5064058899879456,0.4300452395062164
112590018.png,0.5576015114784241,0.3694963448052826
